,AMZN,GOOGL,TSLA,NVDA,AAPL,MSFT,NFLX,META,CRM,ORCL,JPM,WFC,BAC,MS,C,GS,JNJ,PFE,UNH,KO,PG,PEP,WMT,HD,BA,CAT,GE,XOM,CVX,V
JPM,0.7679960817095163,0.6296569846963241,0.6305937739248633,0.7418767788119223,0.760319797227855,0.6843813179511279,0.5722743631806141,0.7543175522915944,0.7209659262827031,0.5713682962123113,1.0,0.8666325274613534,0.8599864383748601,0.9110465623025957,0.895599131434236,0.9022633796032786,0.12987128845458284,0.4552214019830958,-0.004551682240839939,0.18948829957409422,0.2969237165855185,0.250897115452131,0.6168249331461041,0.571424387560461,0.7521409697921729,0.8104316964743096,0.7640610324907133,0.6166892651329114,0.6459518833591653,0.6891421195741609
WFC,0.7365678440660103,0.5593340044314965,0.5910563065311931,0.7158521903466608,0.7288645597944091,0.6187974411915104,0.5858671423048242,0.7391271429359579,0.7496836258994615,0.5686494204883196,0.8666325274613534,1.0,0.930377169491554,0.9054378000842107,0.9313620674921407,0.8833907126280558,0.06733275242533156,0.4916785708401312,-0.02322609968138387,0.05918298410530636,0.17106240795637923,0.1590830742117468,0.5677739732708257,0.5911754706575802,0.7268203433569854,0.8188560781135493,0.7465303179147049,0.5598332582003038,0.6513719928505408,0.6048663849045951
BAC,0.7444682501017692,0.5373341077556828,0.553023933682344,0.6952710833442165,0.7308431538710474,0.5821642504043203,0.564747013494553,0.701083990576621,0.717264019440443,0.5776370590309609,0.8599864383748601,0.930377169491554,1.0,0.9000048795399606,0.9308129241374233,0.8682651219032301,0.029413493898532105,0.4644690057428572,-0.027118364857384038,0.024354022690327066,0.1848175745188988,0.13286404803383944,0.5618331344307682,0.5463153448617373,0.6901784633309044,0.7877470488429731,0.72007661100863,0.5731360057095304,0.6328173433544043,0.5983082281726332
MS,0.8315915331318804,0.6639908197310986,0.6328826454565645,0.8190752232298503,0.7957860287965722,0.7288658973850541,0.6297393534637649,0.8094894825799274,0.8051608357591534,0.6574599549016771,0.9110465623025957,0.9054378000842107,0.9000048795399606,1.0,0.9430232709442382,0.9646008726153412,0.0939648657112585,0.4912742791215879,-0.05346276703918537,0.10308167830122382,0.20914578250891325,0.2341673274932759,0.616684112015557,0.6789562314889067,0.7642377491501539,0.8786146208495302,0.7865833375474177,0.6113729810737178,0.6760439278134948,0.6749186724885116
C,0.7851580429748556,0.5783900609065431,0.5760783293200681,0.7507264178519606,0.7646626962180325,0.6372883707175224,0.5733843494188018,0.7678788973373567,0.76956840496727,0.5950340171665777,0.895599131434236,0.9313620674921407,0.9308129241374233,0.9430232709442382,1.0,0.9313069120380577,0.09548854685074423,0.5159943806663844,-0.03458407244548455,0.09114056682616854,0.21540312672742418,0.2219000046206783,0.5687094116520627,0.6641332889290607,0.7439089988111205,0.8546121432364826,0.7619129098886563,0.5762158521637988,0.6444438507914546,0.6439762490892987
GS,0.7921097374134803,0.6524271499520659,0.6571611171053073,0.7791125906142637,0.8237461340643111,0.7170655266090881,0.6416348056412678,0.7870753512393643,0.7892304885118229,0.6656926363558332,0.9022633796032786,0.8833907126280558,0.8682651219032301,0.9646008726153412,0.9313069120380577,1.0,0.08041633916592529,0.5007632132904841,-0.0741965996556105,0.13418191936247287,0.23158924175734089,0.27973098410008584,0.5875967427876337,0.6621676251180311,0.7328871191538618,0.9066202512772027,0.7843338037802492,0.6344517395986151,0.7029317365800068,0.6685734436374801
JNJ,-0.059795440857067575,-0.08570042893426626,0.0017424801857882962,-0.07366039093484257,0.10815726601543979,-0.016812328144907542,0.09074643077627774,-0.09042780653146831,0.012583734271020436,0.07158337961697978,0.12987128845458284,0.06733275242533156,0.029413493898532105,0.0939648657112585,0.09548854685074423,0.08041633916592529,1.0,0.5505981241273137,0.10090152988917653,0.5245815646837748,0.5011094196164557,0.4642065959873769,0.19561143617975213,0.24114993528203077,0.05997194793920993,0.07686302706951974,0.07241773082309122,0.20799285661848488,0.168110074521884,0.3268128993566006
PFE,0.36285963201946597,0.24020103799553544,0.3652482609303433,0.36406354154285636,0.5069186439875689,0.31825676410470705,0.2493498152679284,0.32154660563136295,0.38579747131318215,0.4021806633637438,0.4552214019830958,0.4916785708401312,0.4644690057428572,0.4912742791215879,0.5159943806663844,0.5007632132904841,0.5505981241273137,1.0,0.05565006898453035,0.3067131561937438,0.43595251043688604,0.46023060649860126,0.35180562377816443,0.4595993682938196,0.35375258108710095,0.5265142595646165,0.34595407160273783,0.46984853087229483,0.523721257593603,0.5059536995342664
UNH,0.0657119586053666,0.06797341669663165,-0.02184078695589797,0.02264502830617996,-0.03541270061266181,0.11924905371419951,-0.10212135128362218,0.01967391328619566,0.10003339759231519,0.060402839672326604,-0.004551682240839939,-0.02322609968138387,-0.027118364857384038,-0.05346276703918537,-0.03458407244548455,-0.0741965996556105,0.10090152988917653,0.05565006898453035,1.0,0.006906280239605469,-0.0045162940067202785,-0.00861020227679701,0.06628799200261053,-0.050492894658007915,-0.06569315079112037,-0.07910476445128428,0.04539822639075622,-0.1291491411311698,-0.05799093728693228,0.14494795866259427
KO,-0.06641396356356052,0.036111031430850475,0.11582296163157065,0.007976510662011518,0.1652371313737539,0.06988899086045654,0.2635502999782308,-0.02046239618843544,0.040763192853208514,0.042133059539106635,0.18948829957409422,0.05918298410530636,0.024354022690327066,0.10308167830122382,0.09114056682616854,0.13418191936247287,0.5245815646837748,0.3067131561937438,0.006906280239605469,1.0,0.7390884461671349,0.6480306137666177,0.4504863840117505,0.3323308878711416,0.11951833425240685,0.11361572754372921,0.28679507112276975,0.18334979826584624,0.15697256333947102,0.4724198041426843
PG,0.10186385729328937,0.12213206624258025,0.26883610494682747,0.1401217407102406,0.37984125026677146,0.17718463302449614,0.14032623831351917,0.10725995617673635,0.1248834258299038,0.11220292950985228,0.2969237165855185,0.17106240795637923,0.1848175745188988,0.20914578250891325,0.21540312672742418,0.23158924175734089,0.5011094196164557,0.43595251043688604,-0.0045162940067202785,0.7390884461671349,1.0,0.7307679925416914,0.4739022997208622,0.4453265615267283,0.20692673628549904,0.2658586727583927,0.32289204533443866,0.3139336977275118,0.2897129081623369,0.504859910126721
PEP,0.18751340093513663,0.11688608112678459,0.2478576095284732,0.17923757198211476,0.3991947317402298,0.17604594876126736,0.08304469083160544,0.18746029828270863,0.1520040683810956,0.2660381603679753,0.250897115452131,0.1590830742117468,0.13286404803383944,0.2341673274932759,0.2219000046206783,0.27973098410008584,0.4642065959873769,0.46023060649860126,-0.00861020227679701,0.6480306137666177,0.7307679925416914,1.0,0.41970264446811756,0.5400843029330433,0.21039632420629048,0.3415936391891659,0.2280821625479323,0.28088090901089124,0.2999684215617337,0.46800824393246326
WMT,0.514344654219183,0.4209841806065575,0.4873264699537202,0.5497420955402396,0.6530987511155398,0.5745453119737415,0.5342485612248131,0.5432075735871553,0.5023843398108163,0.43585206496779705,0.6168249331461041,0.5677739732708257,0.5618331344307682,0.616684112015557,0.5687094116520627,0.5875967427876337,0.19561143617975213,0.35180562377816443,0.06628799200261053,0.4504863840117505,0.4739022997208622,0.41970264446811756,1.0,0.626108201170273,0.5792053063725361,0.5598260132314434,0.6234950739919592,0.33589495169252936,0.3596094226547881,0.6264886306849924
HD,0.6013155695208496,0.42523997618458204,0.5139978458615341,0.5363007301918971,0.7012680393118039,0.5223943952251768,0.33474041441546765,0.588120114633135,0.5938903187911402,0.4720490110111647,0.571424387560461,0.5911754706575802,0.5463153448617373,0.6789562314889067,0.6641332889290607,0.6621676251180311,0.24114993528203077,0.4595993682938196,-0.050492894658007915,0.3323308878711416,0.4453265615267283,0.5400843029330433,0.626108201170273,1.0,0.5088194382919359,0.7224956654387601,0.49629831353716275,0.38541672024942375,0.44776822941942246,0.5959189800540168
BA,0.7365849748854528,0.598710021834307,0.6046593366581526,0.6724610000651663,0.6954788320933468,0.5891330399740943,0.5575209348935252,0.6965251571586533,0.6369436335414413,0.429712088280923,0.7521409697921729,0.7268203433569854,0.6901784633309044,0.7642377491501539,0.7439089988111205,0.7328871191538618,0.05997194793920993,0.35375258108710095,-0.06569315079112037,0.11951833425240685,0.20692673628549904,0.21039632420629048,0.5792053063725361,0.5088194382919359,1.0,0.7519864436983995,0.7467119339783922,0.5551303291884458,0.6216530516097569,0.6241066211314049
CAT,0.8084665738981371,0.6616980439583438,0.6743285270500883,0.7571649380039001,0.8282564137561557,0.7353589344470581,0.5173354202671235,0.7999541898617017,0.7619774799157234,0.6754262190553242,0.8104316964743096,0.8188560781135493,0.7877470488429731,0.8786146208495302,0.8546121432364826,0.9066202512772027,0.07686302706951974,0.5265142595646165,-0.07910476445128428,0.11361572754372921,0.2658586727583927,0.3415936391891659,0.5598260132314434,0.7224956654387601,0.7519864436983995,1.0,0.7148457340114054,0.6418525786833914,0.7189112051285652,0.6508401273784271
GE,0.6424224920271846,0.564469834032969,0.5748235759607613,0.6856477014706405,0.6623478269776112,0.6866280406781003,0.7404394009541988,0.7026229737871112,0.6983255259726815,0.4924691846197651,0.7640610324907133,0.7465303179147049,0.72007661100863,0.7865833375474177,0.7619129098886563,0.7843338037802492,0.07241773082309122,0.34595407160273783,0.04539822639075622,0.28679507112276975,0.32289204533443866,0.2280821625479323,0.6234950739919592,0.49629831353716275,0.7467119339783922,0.7148457340114054,1.0,0.4865614824165814,0.574952857359705,0.7166454904742473
XOM,0.5293436471735232,0.40468805967420723,0.48763211403094414,0.46854849470067894,0.6627988171475864,0.40285884380458875,0.33062439200339994,0.4438379220910984,0.4398443445347515,0.44513494148291854,0.6166892651329114,0.5598332582003038,0.5731360057095304,0.6113729810737178,0.5762158521637988,0.6344517395986151,0.20799285661848488,0.46984853087229483,-0.1291491411311698,0.18334979826584624,0.3139336977275118,0.28088090901089124,0.33589495169252936,0.38541672024942375,0.5551303291884458,0.6418525786833914,0.4865614824165814,1.0,0.9365204602793381,0.4628711235651116
CVX,0.5839251932568702,0.44013996580925197,0.5362261175837735,0.5611184973583733,0.6918194350558688,0.4888554928717493,0.3589395252857697,0.5583640834832829,0.5352759265189274,0.5145310683329688,0.6459518833591653,0.6513719928505408,0.6328173433544043,0.6760439278134948,0.6444438507914546,0.7029317365800068,0.168110074521884,0.523721257593603,-0.05799093728693228,0.15697256333947102,0.2897129081623369,0.2999684215617337,0.3596094226547881,0.44776822941942246,0.6216530516097569,0.7189112051285652,0.574952857359705,0.9365204602793381,1.0,0.5280371913492917
V,0.5711725597406774,0.48759448823155477,0.4950056770437537,0.5927164913575204,0.6515597102081087,0.5832110476676068,0.6006262793504724,0.6012028202058185,0.6774759730793354,0.42743591981940643,0.6891421195741609,0.6048663849045951,0.5983082281726332,0.6749186724885116,0.6439762490892987,0.6685734436374801,0.3268128993566006,0.5059536995342664,0.14494795866259427,0.4724198041426843,0.504859910126721,0.46800824393246326,0.6264886306849924,0.5959189800540168,0.6241066211314049,0.6508401273784271,0.7166454904742473,0.4628711235651116,0.5280371913492917,1.0
